stateCd,districtCd,acNumber,rollCode,rollText,parts_total,files_found,missing_count,timestamp
S04,S0417,113,g,General Election / Bye Election Roll 2024,356,305,51,2025-08-28 12:44:17 UTC+05:30
S04,S0417,114,g,General Election / Bye Election Roll 2024,363,307,56,2025-08-28 12:44:32 UTC+05:30
S04,S0417,115,g,General Election / Bye Election Roll 2024,377,325,52,2025-08-28 12:44:54 UTC+05:30
S04,S0417,116,g,General Election / Bye Election Roll 2024,354,316,38,2025-08-28 12:45:07 UTC+05:30
S04,S0417,117,g,General Election / Bye Election Roll 2024,333,293,40,2025-08-28 12:45:20 UTC+05:30
S04,S0417,118,g,General Election / Bye Election Roll 2024,373,331,42,2025-08-28 12:45:34 UTC+05:30
S04,S0417,119,g,General Election / Bye Election Roll 2024,360,305,55,2025-08-28 12:45:51 UTC+05:30
S04,S0417,120,g,General Election / Bye Election Roll 2024,330,275,55,2025-08-28 12:46:06 UTC+05:30
S04,S0417,121,g,General Election / Bye Election Roll 2024,327,280,47,2025-08-28 12:46:27 UTC+05:30
S04,S0417,122,g,General Election / Bye Election Roll 2024,337,292,45,2025-08-28 12:46:45 UTC+05:30
S04,S0426,169,g,General Election / Bye Election Roll 2024,307,282,25,2025-08-28 12:46:59 UTC+05:30
S04,S0426,170,g,General Election / Bye Election Roll 2024,275,248,27,2025-08-28 12:47:12 UTC+05:30
S04,S0403,22,g,General Election / Bye Election Roll 2024,368,317,51,2025-08-28 12:47:27 UTC+05:30
S04,S0404,23,g,General Election / Bye Election Roll 2024,365,331,34,2025-08-28 12:47:45 UTC+05:30
S04,S0404,24,g,General Election / Bye Election Roll 2024,371,325,46,2025-08-28 12:48:02 UTC+05:30
S04,S0404,25,g,General Election / Bye Election Roll 2024,371,331,40,2025-08-28 12:48:17 UTC+05:30
S04,S0404,26,g,General Election / Bye Election Roll 2024,392,336,56,2025-08-28 12:48:32 UTC+05:30
S04,S0404,27,g,General Election / Bye Election Roll 2024,396,336,60,2025-08-28 12:48:47 UTC+05:30
S04,S0404,28,g,General Election / Bye Election Roll 2024,347,306,41,2025-08-28 12:49:03 UTC+05:30
S04,S0404,29,g,General Election / Bye Election Roll 2024,346,298,48,2025-08-28 12:49:18 UTC+05:30
S04,S0404,30,g,General Election / Bye Election Roll 2024,322,282,40,2025-08-28 12:49:47 UTC+05:30
S04,S0416,105,g,General Election / Bye Election Roll 2024,359,319,40,2025-08-28 12:50:06 UTC+05:30
S04,S0416,106,g,General Election / Bye Election Roll 2024,317,282,35,2025-08-28 12:50:20 UTC+05:30
S04,S0416,107,g,General Election / Bye Election Roll 2024,375,330,45,2025-08-28 12:50:49 UTC+05:30
S04,S0416,108,g,General Election / Bye Election Roll 2024,345,302,43,2025-08-28 12:50:59 UTC+05:30
S04,S0416,109,g,General Election / Bye Election Roll 2024,382,319,63,2025-08-28 12:51:09 UTC+05:30
S04,S0416,110,g,General Election / Bye Election Roll 2024,361,316,45,2025-08-28 12:51:25 UTC+05:30
S04,S0416,111,g,General Election / Bye Election Roll 2024,398,344,54,2025-08-28 12:51:38 UTC+05:30
S04,S0416,112,g,General Election / Bye Election Roll 2024,371,319,52,2025-08-28 12:51:51 UTC+05:30
S04,S0406,41,g,General Election / Bye Election Roll 2024,367,324,43,2025-08-28 12:52:15 UTC+05:30
S04,S0406,42,g,General Election / Bye Election Roll 2024,364,306,58,2025-08-28 12:52:27 UTC+05:30
S04,S0406,43,g,General Election / Bye Election Roll 2024,365,311,54,2025-08-28 12:52:39 UTC+05:30
S04,S0406,44,g,General Election / Bye Election Roll 2024,357,301,56,2025-08-28 12:52:51 UTC+05:30
S04,S0406,45,g,General Election / Bye Election Roll 2024,427,324,103,2025-08-28 12:53:03 UTC+05:30
S04,S0418,123,g,General Election / Bye Election Roll 2024,395,335,60,2025-08-28 12:53:29 UTC+05:30
S04,S0418,124,g,General Election / Bye Election Roll 2024,421,352,69,2025-08-28 12:53:44 UTC+05:30
S04,S0418,125,g,General Election / Bye Election Roll 2024,422,347,75,2025-08-28 12:53:59 UTC+05:30
S04,S0418,126,g,General Election / Bye Election Roll 2024,352,297,55,2025-08-28 12:54:13 UTC+05:30
S04,S0418,127,g,General Election / Bye Election Roll 2024,354,285,69,2025-08-28 12:54:25 UTC+05:30
S04,S0418,128,g,General Election / Bye Election Roll 2024,408,342,66,2025-08-28 12:54:38 UTC+05:30
S04,S0418,129,g,General Election / Bye Election Roll 2024,388,306,82,2025-08-28 12:54:51 UTC+05:30
S04,S0418,130,g,General Election / Bye Election Roll 2024,366,295,71,2025-08-28 12:55:04 UTC+05:30
