partNumber,found,fileUuid,refId,bucketName
55,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-55_0f868848-98d7-4f00-b501-a584fc266e63.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-55-WI.pdf,tcsecidels3arc-eroll-s04-bihar
56,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-56_fa262882-1900-42a2-b32d-bf5bfe450943.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-56-WI.pdf,tcsecidels3arc-eroll-s04-bihar
57,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-57_82f4a78c-00eb-4cbf-ad35-3e35c0cd85f8.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-57-WI.pdf,tcsecidels3arc-eroll-s04-bihar
58,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-58_c14d7525-e956-4c5a-b821-7bd704e24ad0.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-58-WI.pdf,tcsecidels3arc-eroll-s04-bihar
59,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-59_a87f7721-2fb5-438e-9975-920de2aff873.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-59-WI.pdf,tcsecidels3arc-eroll-s04-bihar
60,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-60_fa29bda2-ae33-4377-b4a0-a0176338d636.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-60-WI.pdf,tcsecidels3arc-eroll-s04-bihar
61,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-61_ee55a177-3c3f-49ea-a382-3111b0237d48.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-61-WI.pdf,tcsecidels3arc-eroll-s04-bihar
62,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-62_1696f702-420a-4dad-87ed-f634399fed0e.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-62-WI.pdf,tcsecidels3arc-eroll-s04-bihar
63,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-63_fdd7a8cb-f401-4ee5-88e4-3059b8b5c835.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-63-WI.pdf,tcsecidels3arc-eroll-s04-bihar
64,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-64_1d926ac4-6cd5-4fa4-9ed5-ba1be93b4f98.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-64-WI.pdf,tcsecidels3arc-eroll-s04-bihar
