source_file,year,state_code,state_name,ac_number,ac_name,ac_reservation,pc_number,pc_name,part_number,polling_station_number_and_name,polling_station_address,polling_station_type,auxiliary_polling_stations,serial_start,serial_end,male,female,third_gender,total,district,main_town_or_village,post_office,police_station,tehsil,subdivision,pin_code
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p161_225c1538\139_p161_225c1538.json,,,,139,NANDYAL,,17,NANDYAL,,"161 - Mpl. Ele School East Wing ,JVR Nagar, NGO Colony","Mpl. Ele School East Wing ,JVR Nagar, NGO Colony NANDYAL",,0,,,301,267,0,568,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p162_aa16c885\139_p162_aa16c885.json,,,,139,NANDYAL (GEN),,17,NANDYAL (GEN),162,,,,,,,674,656,0,1330,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p163_fdd06c28\139_p163_fdd06c28.json,,,,139,NANDYAL,,17,,163,,,,0,,,436,455,0,891,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p164_f59e0316\139_p164_f59e0316.json,,,,,,,,,,"164 - 9th Class Room, Narayana High School, JVR Nagar, N.G.Os Colony, Nandyal.","9th Class Room, Narayana High School, JVR Nagar, N.G.Os Colony, Nandyal.",,0,,,385,425,0,810,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p165_4d94c40d\139_p165_4d94c40d.json,,,,,,,,,,,,,,1,1166,550,545,0,1095,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p166_a87fbafa\139_p166_a87fbafa.json,,,,,,,,,,,"Municipal High School New Building, North left wing NGOs colony, Nandyal, Nandyal",GENERAL,,,,475,460,0,935,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p167_15d95289\139_p167_15d95289.json,,,,,,,,,,167 - NANDYAL,"Municipal High school west wing, NGOs colony, Nandyal, Nandyal",,,,,424,495,0,919,NANDYAL,NANDYAL,NANDYAL,2 TOWN POLICE STATION NANDYAL,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p168_79cf407d\139_p168_79cf407d.json,2024,S01,Andhra Pradesh,,,,,,,,,,,,,721,784,0,1505,NANDYAL,NANDYAL,NANDYAL,2 TOWN POLICE STATION NANDYAL,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p169_e047ff63\139_p169_e047ff63.json,,,,139,NANDYAL,,17,NANDYAL (GEN),,169 - NANDYAL,"National PG College Health and Pinikal Education center Room No 1 Nandyal (Ngos Colony), Nandyal",,,1,902,434,438,0,872,NANDYAL,NANDYAL,NANDYAL,2 TOWN POLICE STATION NANDYAL,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p16_d9d4e041\139_p16_d9d4e041.json,2024,S01,Andhra Pradesh,139,NANDYAL,,17,NANDYAL,,,"M P U P SCHOOLU,ROOM NO 1,BILLALAPURAM",,,,,433,445,0,878,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p170_ac5e6cc8\139_p170_ac5e6cc8.json,,,,139,NANDYAL,,17,NANDYAL,170,,,,0,1,867,498,342,0,840,,,,,,,
